Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Alpha_Config
FedAdam,FashionMNIST,,0.9,0.999,14,0.39173085691928866,0.8623978860506926,86.14,22,100,54410,3.7109503746032715,3.704456090927124,0.006494283676147461,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,15,0.3999464681148529,0.8508644937873251,85.09,28,100,54410,4.759602069854736,4.7520060539245605,0.007596015930175781,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,16,0.3890880035877228,0.856466376172126,85.72,28,100,54410,4.724796772003174,4.716861724853516,0.007935047149658203,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,17,0.3736602919101715,0.8673260448542457,86.87,26,100,54410,4.489741086959839,4.482424736022949,0.0073163509368896484,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,18,0.38025750257968904,0.8650665974175287,86.79,21,100,54410,3.5028188228607178,3.496393918991089,0.006424903869628906,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,19,0.37257425220012663,0.8711953801470086,87.32,28,100,54410,4.7506866455078125,4.742511987686157,0.008174657821655273,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,20,0.355948357129097,0.8760728139674759,87.67,28,100,54410,4.678678750991821,4.671113967895508,0.0075647830963134766,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,21,0.3581490812778473,0.8715460959158774,87.17,24,100,54410,4.083191394805908,4.076038360595703,0.007153034210205078,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,22,0.35452094395160677,0.8715940189982392,87.23,26,100,54410,4.537620306015015,4.529597043991089,0.008023262023925781,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,23,0.3428024181127548,0.8766799390500278,87.8,28,100,54410,4.60031795501709,4.591806411743164,0.008511543273925781,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,24,0.3445011877298355,0.8784702298870734,88.04,23,100,54410,3.974287271499634,3.9672303199768066,0.0070569515228271484,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,25,0.3433419318795204,0.8799435464626262,88.16,29,100,54410,4.975940942764282,4.967725515365601,0.00821542739868164,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,26,0.33785017430782316,0.8817446504964366,88.3,26,100,54410,4.429295301437378,4.421970367431641,0.007324934005737305,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,27,0.33539479377269743,0.8812827592580097,88.22,27,100,54410,4.52471137046814,4.5174901485443115,0.007221221923828125,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,28,0.3335186238050461,0.8792072396074261,88.0,30,100,54410,5.172187328338623,5.1638829708099365,0.008304357528686523,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,29,0.32755212481021884,0.8818852525257068,88.26,25,100,54410,3.93044114112854,3.922969341278076,0.007471799850463867,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,30,0.3230941801548004,0.885062906661126,88.6,28,100,54410,4.627236843109131,4.618652820587158,0.008584022521972656,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,31,0.31975542002916335,0.8854729910598429,88.66,25,100,54410,4.333292245864868,4.326252698898315,0.007039546966552734,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,32,0.31877255209684374,0.8842115793438067,88.53,25,100,54410,4.206679105758667,4.199333906173706,0.0073451995849609375,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,33,0.3210113330364227,0.8835757192724767,88.51,27,100,54410,4.704610109329224,4.697370529174805,0.007239580154418945,,122.966796875,100.0
