Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedAdam,FashionMNIST,,0.9,0.999,11,1.4014609102249145,0.6006592359655265,65.27,10,100,54410,1.729299783706665,1.7257070541381836,0.0035927295684814453,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,12,2.1578109516143797,0.5210860226739011,59.63,8,100,54410,1.434152364730835,1.4306950569152832,0.003457307815551758,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,13,1.4006773832321167,0.6381115797039271,67.15,5,100,54410,0.48535704612731934,0.4826490879058838,0.002707958221435547,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,14,1.8790956101417542,0.4919770203744456,53.63,5,100,54410,0.3907735347747803,0.3880760669708252,0.002697467803955078,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,15,1.5337666259765625,0.5454314682928384,57.9,8,100,54410,1.2596650123596191,1.2562322616577148,0.003432750701904297,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,16,0.8373960611343384,0.7071172591804832,71.55,9,100,54410,0.9243507385253906,0.9207322597503662,0.003618478775024414,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,17,0.8831222529888153,0.7345578203515502,74.73,9,100,54410,1.5723624229431152,1.568507432937622,0.003854990005493164,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,18,1.053788885831833,0.6846558238950873,70.3,8,100,54410,1.0361614227294922,1.0331406593322754,0.003020763397216797,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,19,0.9075758247375488,0.7028826762599636,71.32,5,100,54410,0.8764247894287109,0.8739769458770752,0.002447843551635742,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,20,0.8556593194961548,0.7231128326395019,72.7,7,100,54410,1.1828155517578125,1.1798045635223389,0.003010988235473633,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,21,0.6336985648155212,0.7891483381367635,78.53,8,100,54410,1.5001182556152344,1.49656081199646,0.003557443618774414,,118.787109375,0.05-0.10
