Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.5,0.999,39,0.5455182252407074,0.7963905400038579,82.11,27,100,54410,4.34171199798584,4.329418182373047,0.012293815612792969,0.011679887771606445,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,40,0.39827251176834105,0.8583967696440741,86.39,27,100,54410,4.682814598083496,4.6704325675964355,0.012382030487060547,0.01169133186340332,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,41,0.4674488554954529,0.8267840613655354,82.15,26,100,54410,4.6317665576934814,4.619812965393066,0.011953592300415039,0.011311769485473633,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,42,0.39494395074844363,0.860747474259042,86.09,28,100,54410,4.687930107116699,4.675462961196899,0.012467145919799805,0.011790752410888672,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,43,0.42295449602603913,0.8415373049186352,85.1,26,100,54410,3.6484158039093018,3.63669753074646,0.011718273162841797,0.01105356216430664,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,44,0.49857212104797366,0.8100193143434653,82.5,29,100,54410,5.38327169418335,5.370757102966309,0.012514591217041016,0.011899232864379883,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,45,0.3869894957065582,0.8633844083506867,86.45,26,100,54410,3.001152515411377,2.9882071018218994,0.012945413589477539,0.012215852737426758,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,46,0.39086553807258606,0.859475822119397,85.97,30,100,54410,4.717352628707886,4.704305171966553,0.013047456741333008,0.012411832809448242,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,47,0.3808538617134094,0.8642399298854123,86.62,27,100,54410,4.010432720184326,3.9986257553100586,0.011806964874267578,0.011177778244018555,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,48,0.46927742867469785,0.8215526019067365,83.34,27,100,54410,5.254585266113281,5.242644309997559,0.011940956115722656,0.01130533218383789,122.98095703125,beta1
