Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.0,0.9,0.999,32,0.47445841381549836,0.826942163975745,82.55,25,100,54410,3.6873977184295654,3.6759192943573,0.011478424072265625,0.01078176498413086,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,33,0.4814020111083984,0.8251102658441143,82.22,27,100,54410,5.0575947761535645,5.046021223068237,0.011573553085327148,0.010982513427734375,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,34,0.436985261964798,0.8446703521936904,84.79,29,100,54410,5.5983967781066895,5.585411310195923,0.012985467910766602,0.012340307235717773,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,35,0.5016018880844116,0.8132893165405181,82.95,27,100,54410,4.122120380401611,4.110886096954346,0.011234283447265625,0.0106048583984375,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,36,0.5309196515560151,0.8000627241511122,82.33,26,100,54410,4.391972303390503,4.380694389343262,0.011277914047241211,0.01066446304321289,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,37,0.45792024850845336,0.8262070677352543,84.18,22,100,54410,3.764374256134033,3.7542901039123535,0.010084152221679688,0.009451150894165039,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,38,0.40700555148124695,0.8508778040075529,85.63,25,100,54410,3.59428071975708,3.583733081817627,0.010547637939453125,0.009923219680786133,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,39,0.39670042667388916,0.855670279127364,85.7,27,100,54410,4.789597988128662,4.778478384017944,0.011119604110717773,0.010521411895751953,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,40,0.4058324212551117,0.8486903975971304,84.58,27,100,54410,4.177704095840454,4.166606664657593,0.011097431182861328,0.010519027709960938,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,41,0.42146879048347474,0.8426006876080677,83.85,26,100,54410,4.256301164627075,4.245790481567383,0.010510683059692383,0.009900093078613281,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,42,0.4127809402704239,0.8507303159353178,84.84,28,100,54410,4.724040269851685,4.711724519729614,0.012315750122070312,0.011698484420776367,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,43,0.4014323299884796,0.8566710802739774,85.79,26,100,54410,4.0151848793029785,4.003710508346558,0.011474370956420898,0.01084589958190918,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,44,0.43820868980884553,0.8417565022495588,84.99,29,100,54410,5.45265793800354,5.439495801925659,0.01316213607788086,0.012449502944946289,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,45,0.4521956150531769,0.8344434957695481,84.53,26,100,54410,2.8482513427734375,2.8383948802948,0.009856462478637695,0.009366035461425781,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,46,0.45887479107379914,0.8286606886673503,83.73,30,100,54410,4.580678939819336,4.5684099197387695,0.012269020080566406,0.01163792610168457,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,47,0.41193770047426226,0.8459774003889388,85.01,27,100,54410,3.4489905834198,3.438725709915161,0.010264873504638672,0.009736061096191406,122.98095703125,42
